metric,prefix,N,MAD_anchor,MAD_arecho,MAD_anchor_CI_low,MAD_anchor_CI_high,MAD_arecho_CI_low,MAD_arecho_CI_high,mean_anchor,mean_arecho,std_anchor,std_arecho,anchor_over_rate,anchor_under_rate,arecho_over_rate,arecho_under_rate,anchor_bias,arecho_bias,anchor_bias_CI_low,anchor_bias_CI_high,arecho_bias_CI_low,arecho_bias_CI_high,skew_anchor,skew_arecho,p_value,cohen_d
nisqa_mos_pred,2,94,0.5355403209245991,0.5629191861100292,0.45330936208737876,0.6375433267698445,0.46608865640062436,0.658756664323042,-0.1265814030087932,-0.37858369928144636,0.7118918282932456,0.6390324059866608,0.4148936170212766,0.5851063829787234,0.30851063829787234,0.6914893617021277,-0.1265814030087932,-0.37858369928144636,-0.27230590810243416,0.014025538950066054,-0.5088574531445388,-0.25124403553279817,-0.17021276595744683,-0.3829787234042554,3.0000736235324625e-05,0.4527354429708338
nisqa_mos_pred,4,89,0.4294555991034764,0.4716087162970721,0.35103023416645496,0.5081600311733061,0.39075933461800805,0.556364029802052,0.08005024421230388,-0.011407455607370196,0.5640038348974324,0.6211344005125851,0.5168539325842697,0.48314606741573035,0.4943820224719101,0.5056179775280899,0.08005024421230388,-0.011407455607370196,-0.03607674693958302,0.19473709356709476,-0.1315094158308915,0.12554043946735313,0.03370786516853935,-0.011235955056179803,0.08240863558979737,0.18623381857246893
nisqa_mos_pred,6,74,0.466712096612021,0.4851209663075446,0.392664830443167,0.538070210803801,0.40601065111227547,0.571099652742574,0.044616610510502204,0.04148680199102189,0.5850636774098442,0.6097292341475989,0.4864864864864865,0.5135135135135135,0.5540540540540541,0.44594594594594594,0.044616610510502204,0.04148680199102189,-0.08324129678156117,0.18035116865891307,-0.09571325583505796,0.17965154580672413,-0.027027027027026973,0.10810810810810811,0.9498671616099217,0.007334079406075418
nisqa_mos_pred,8,49,0.44130181120161294,0.39754833794843847,0.3519165772751417,0.5479488706944879,0.30474720714909515,0.48744808263675504,0.056221540888140714,0.10854723280389268,0.5734122914182139,0.5128593801292161,0.46938775510204084,0.5306122448979592,0.5918367346938775,0.40816326530612246,0.056221540888140714,0.10854723280389268,-0.10204365174967336,0.2136691901291474,-0.044624983572442975,0.2440230027970868,-0.06122448979591838,0.18367346938775508,0.2524394731575639,-0.16548305633332885
nisqa_noi_pred,2,94,0.39478747048184853,0.36383606633660853,0.31878275911213183,0.4748108588802725,0.29356751584607166,0.4359750209023996,0.17658727212888523,0.03689663963603888,0.5386812871393812,0.5260611164953275,0.6595744680851063,0.3404255319148936,0.5638297872340425,0.43617021276595747,0.17658727212888523,0.03689663963603888,0.06785914510950708,0.29137590522224915,-0.07028723693566026,0.14302144544133039,0.3191489361702127,0.12765957446808507,2.7095692524619343e-05,0.45549069475482157
nisqa_noi_pred,4,89,0.36452638702720486,0.31275635848519356,0.29528587584374827,0.43657207359044553,0.24901433441976056,0.3843636646572283,0.17543712205487913,0.1271628706572819,0.47297150424650014,0.4376213628756316,0.7078651685393258,0.29213483146067415,0.6179775280898876,0.38202247191011235,0.17543712205487913,0.1271628706572819,0.07635781750258464,0.2671976868251317,0.04558111972080422,0.21898995140623462,0.41573033707865165,0.23595505617977525,0.14116880982480448,0.15738905278041235
nisqa_noi_pred,6,74,0.319684447381598,0.3021852828988445,0.25402486451244316,0.39099021548849866,0.23886641953631768,0.37465401859815506,0.18327938599098928,0.10597112340090194,0.40382542306040575,0.41507510630331285,0.7162162162162162,0.28378378378378377,0.6216216216216216,0.3783783783783784,0.18327938599098928,0.10597112340090194,0.0964323115978148,0.2782252603899827,0.013381762663665501,0.21240490047200644,0.43243243243243246,0.2432432432432432,0.04440847130406658,0.23778599506733283
nisqa_noi_pred,8,49,0.3083955656992647,0.22833893239698425,0.24041414445818918,0.3864286703854719,0.17616750983850019,0.27925832845809834,0.1325029247452534,0.08792943466335952,0.3916275350664352,0.2819896989332805,0.673469387755102,0.32653061224489793,0.6530612244897959,0.3469387755102041,0.1325029247452534,0.08792943466335952,0.02412197195160199,0.2375957934234867,0.0052188113836192105,0.16120351928014254,0.3469387755102041,0.3061224489795918,0.2809176683367917,0.15579208557438382
nisqa_dis_pred,2,94,1.2168446696742745,0.7345938885210928,0.9817705973702051,1.4731138676550106,0.6033875398837601,0.8614069792658081,-0.9023393284079663,-0.4101536953122272,1.4330001637103635,0.9036647713629944,0.2553191489361702,0.7446808510638298,0.3404255319148936,0.6595744680851063,-0.9023393284079663,-0.4101536953122272,-1.202825905496846,-0.61459239534031,-0.5982609517151021,-0.2370022735855043,-0.48936170212765956,-0.3191489361702127,0.0013492821102769074,-0.34090189864929143
nisqa_dis_pred,4,89,0.7863414737647969,0.6051418971759329,0.6129772299364326,0.9792481718442428,0.48663515994710815,0.7317186132105005,-0.26503299064334124,-0.042820243396288114,1.147877073624972,0.847402061206861,0.5056179775280899,0.4943820224719101,0.48314606741573035,0.5168539325842697,-0.26503299064334124,-0.042820243396288114,-0.4951119528818359,-0.0409209163451252,-0.22070516978775584,0.12274357835260803,0.011235955056179803,-0.03370786516853935,0.0707846195255415,-0.19387512615600452
